id,value
Natural Science Disciplines.Mathematics.Nonlinear Dynamics,H01.548.675
Natural Science Disciplines.Mathematics.Statistics as Topic,H01.548.832
Natural Science Disciplines.Microtechnology,H01.570
Natural Science Disciplines.Nanotechnology,H01.603
Natural Science Disciplines.Nanotechnology.Nanomedicine,H01.603.600
Natural Science Disciplines.Nanotechnology.Nanomedicine.Theranostic Nanomedicine,H01.603.600.500
Natural Science Disciplines.Physics,H01.671
Natural Science Disciplines.Physics.Acoustics,H01.671.031
Natural Science Disciplines.Physics.Acoustics.Ultrasonics,H01.671.031.849
Natural Science Disciplines.Physics.Astronomy,H01.671.065
Natural Science Disciplines.Physics.Biophysics,H01.671.100
Natural Science Disciplines.Physics.Biophysics.Bionics,H01.671.100.202
Natural Science Disciplines.Physics.Electronics,H01.671.293
Natural Science Disciplines.Physics.Electronics.Bionics,H01.671.293.159
"Natural Science Disciplines.Physics.Electronics.Electronics, Medical",H01.671.293.319
Natural Science Disciplines.Physics.Electronics.Robotics,H01.671.293.643
Natural Science Disciplines.Physics.Health Physics,H01.671.368
Natural Science Disciplines.Physics.Magnetics,H01.671.493
Natural Science Disciplines.Physics.Mechanics,H01.671.515
Natural Science Disciplines.Physics.Meteorology,H01.671.547
Natural Science Disciplines.Physics.Nuclear Physics,H01.671.579
Natural Science Disciplines.Physics.Nuclear Physics.Quantum Theory,H01.671.579.800
Natural Science Disciplines.Physics.Optics and Photonics,H01.671.617
Natural Science Disciplines.Physics.Optics and Photonics.Fiber Optic Technology,H01.671.617.249
Natural Science Disciplines.Physics.Optics and Photonics.Microscopy,H01.671.617.562
Natural Science Disciplines.Physics.Optics and Photonics.Refractometry,H01.671.617.755
Natural Science Disciplines.Physics.Rheology,H01.671.808
Natural Science Disciplines.Physics.Rheology.Microfluidics,H01.671.808.500
Natural Science Disciplines.Science,H01.770
Natural Science Disciplines.Science.Natural History,H01.770.552
Natural Science Disciplines.Science.Research,H01.770.644
Natural Science Disciplines.Science.Research.Animal Experimentation,H01.770.644.053
Natural Science Disciplines.Science.Research.Behavioral Research,H01.770.644.108
Natural Science Disciplines.Science.Research.Behavioral Research.Biobehavioral Sciences,H01.770.644.108.687
Natural Science Disciplines.Science.Research.Biomedical Research,H01.770.644.145
Natural Science Disciplines.Science.Research.Biomedical Research.Dental Research,H01.770.644.145.124
Natural Science Disciplines.Science.Research.Biomedical Research.Embryo Research,H01.770.644.145.250
Natural Science Disciplines.Science.Research.Biomedical Research.Fetal Research,H01.770.644.145.300
Natural Science Disciplines.Science.Research.Biomedical Research.Genetic Research,H01.770.644.145.350
Natural Science Disciplines.Science.Research.Biomedical Research.Genetic Research.Gene Ontology,H01.770.644.145.350.124
Natural Science Disciplines.Science.Research.Biomedical Research.Genetic Research.HapMap Project,H01.770.644.145.350.249
Natural Science Disciplines.Science.Research.Biomedical Research.Genetic Research.Human Genome Project,H01.770.644.145.350.500
Natural Science Disciplines.Science.Research.Biomedical Research.Health Services Research,H01.770.644.145.360
Natural Science Disciplines.Science.Research.Biomedical Research.Health Services Research.Comparative Effectiveness Research,H01.770.644.145.360.500
Natural Science Disciplines.Science.Research.Biomedical Research.Human Experimentation,H01.770.644.145.365
Natural Science Disciplines.Science.Research.Biomedical Research.Human Experimentation.Autoexperimentation,H01.770.644.145.365.100
Natural Science Disciplines.Science.Research.Biomedical Research.Human Experimentation.Nontherapeutic Human Experimentation,H01.770.644.145.365.750
Natural Science Disciplines.Science.Research.Biomedical Research.Human Experimentation.Therapeutic Human Experimentation,H01.770.644.145.365.875
Natural Science Disciplines.Science.Research.Biomedical Research.Nursing Research,H01.770.644.145.390
Natural Science Disciplines.Science.Research.Biomedical Research.Nursing Research.Clinical Nursing Research,H01.770.644.145.390.234
Natural Science Disciplines.Science.Research.Biomedical Research.Nursing Research.Nursing Administration Research,H01.770.644.145.390.385
Natural Science Disciplines.Science.Research.Biomedical Research.Nursing Research.Nursing Education Research,H01.770.644.145.390.413
Natural Science Disciplines.Science.Research.Biomedical Research.Nursing Research.Nursing Evaluation Research,H01.770.644.145.390.432
Natural Science Disciplines.Science.Research.Biomedical Research.Nursing Research.Nursing Methodology Research,H01.770.644.145.390.634
Natural Science Disciplines.Science.Research.Biomedical Research.Outcome Assessment (Health Care),H01.770.644.145.431
"Natural Science Disciplines.Science.Research.Biomedical Research.Outcome Assessment (Health Care).Failure to Rescue, Health Care",H01.770.644.145.431.500
Natural Science Disciplines.Science.Research.Biomedical Research.Pharmaceutical Research,H01.770.644.145.442
Natural Science Disciplines.Science.Research.Biomedical Research.Pharmacy Research,H01.770.644.145.452
Natural Science Disciplines.Science.Research.Biomedical Research.Rehabilitation Research,H01.770.644.145.472
Natural Science Disciplines.Science.Research.Biomedical Research.Stem Cell Research,H01.770.644.145.512
Natural Science Disciplines.Science.Research.Biomedical Research.Translational Medical Research,H01.770.644.145.675
Natural Science Disciplines.Science.Research.Community-Based Participatory Research,H01.770.644.193
Natural Science Disciplines.Science.Research.Data Anonymization,H01.770.644.205
Natural Science Disciplines.Science.Research.Dual Use Research,H01.770.644.217
Natural Science Disciplines.Science.Research.Empirical Research,H01.770.644.241
Natural Science Disciplines.Science.Research.Empirical Research.Grounded Theory,H01.770.644.241.424
Natural Science Disciplines.Science.Research.Empirical Research.Qualitative Research,H01.770.644.241.850
Natural Science Disciplines.Science.Research.Empirical Research.Qualitative Research.Hermeneutics,H01.770.644.241.850.750
Natural Science Disciplines.Science.Research.Interdisciplinary Research,H01.770.644.287
Natural Science Disciplines.Science.Research.Operations Research,H01.770.644.333
Natural Science Disciplines.Science.Research.Parapsychology,H01.770.644.364
"Natural Science Disciplines.Science.Research.Peer Review, Research",H01.770.644.487
Natural Science Disciplines.Science.Research.Proof of Concept Study,H01.770.644.578
Natural Science Disciplines.Science.Research.Public Health Systems Research,H01.770.644.608
Natural Science Disciplines.Science.Research.Research Design,H01.770.644.728
Natural Science Disciplines.Science.Research.Research Report,H01.770.644.864
"Natural Science Disciplines.Science.Research.Social Validity, Research",H01.770.644.932
Natural Science Disciplines.Science.Systems Integration,H01.770.787
Natural Science Disciplines.Science.Systems Theory,H01.770.808
